Product Name,Author Name,Rating,Price
Hands-On Machine Learning with Scikit-Learn and Tensor ..., GeRon AureLien,4.6,"₹1,299"
Machine Learning, Dutt Saikat,4.6,₹457
Machine Learning, Mitchell Tom M.,4.5,₹539
Data Science with Machine Learning -, Narayanan Vishwanathan,4.4,₹264
Machine Learning with Python Cookbook: Practical Soluti..., Chris Albon,4.6,₹900
"Hands-On Machine Learning with Scikit-Learn, Keras, and...", Aurélien Géron,4.8,"₹2,275"
Introduction to Machine Learning with Python - A Guide ..., Muller Andreas,4.6,"₹1,200"
Applied Machine Learning, M Gopal,4.2,₹511
Machine Learning Using Python, Pradhan Manaranjan,4.6,₹598
Understanding Machine Learning, Shwartz Shai Shalev,4.4,₹695
Superintelligence, Bostrom Nick,4.6,₹495
Machine Learning for Babies & Toddlers (Tinker Toddlers..., Dr Dhoot,,₹849
The Machine is Learning, Solanki Tanuj,,₹382
Advanced Machine Learning with Python, Hearty John,4.5,"₹3,199"
Weapons of Math Destruction, O'Neil Cathy,4.6,₹394
Deep Learning - Deep Learning, Bengio Yoshua,4.6,"₹3,295"
Machine Learning (in Python and R) For Dummies, Mueller John Paul,4.2,₹678
Python Machine Learning -, Raschka Sebastian,4.4,"₹2,799"
Hands-On Ensemble Learning with R, Tattar Prabhanjan Narayanachar,,"₹3,199"
Linear Algebra and Learning from Data, Strang Gilbert,,"₹3,495"
"A Data Scientist's Guide to Acquiring, Cleaning, and Ma...", Buttrey Samuel E.,,"₹6,595"
Python Machine Learning Cookbook, Joshi Prateek,,₹799
Deep Learning with PyTorch, Subramanian Vishnu,4.8,"₹2,799"
Machine Learning with R -, Lantz Brett,4.8,"₹3,499"
"INTRO. TO MACHINE LEARNING, 3/E", ALPAYDIN,4.6,₹556
Machine Learning with Python for Everyone by Pearson, Mark Fenner,4.3,₹492
Machine Learning with R, Lantz Brett,4.8,"₹3,899"
Introduction to Applied Linear Algebra, Boyd Stephen,,"₹3,248"
Hands-On Predictive Analytics with Python, Fuentes Alvaro,,"₹3,199"
Genetic Programming Theory and Practice, unknown,,"₹7,172"
Statistical Methods for Recommender Systems, Agarwal Deepak K.,,"₹2,228"
Machine Learning for Hackers, Conway Drew,3.8,₹600
Large Scale Machine Learning with Spark, Karim Md. Rezaul,,"₹3,499"
"Identification, Adaptation, Learning", unknown,,"₹54,079"
Hands-On Automated Machine Learning, Das Sibanjan,,"₹2,799"
Mathematical Analysis For Machine Learning And Data Min..., Simovici Dan A,,"₹15,875"
Multisensor Fusion, unknown,,"₹39,105"
The Hundred-Page Machine Learning Book, Andriy Burkov,4.1,"₹1,299"
Multisensor Fusion, unknown,,"₹8,176"
Introduction to Algorithms for Data Mining and Machine ..., Yang Xin-She,,"₹4,435"
